User_ID,Movie_ID,Rating
3,106,6
2,212,10
3,361,7
1,345,8
2,538,1
4,203,7
4,561,7
3,782,9
4,250,6
3,905,9
1,992,8
3,165,9
4,686,10
1,762,5
3,929,7
3,897,2
5,753,10
4,354,8
4,656,1
4,239,7
3,578,7
3,718,3
1,350,7
4,838,3
4,979,3
4,374,6
5,467,8
5,801,5
3,713,4
1,299,7
2,264,6
1,978,2
1,147,3
4,109,7
4,120,5
2,485,7
3,369,8
2,623,9
3,247,5
1,970,6
1,909,8
1,263,6
3,908,6
4,318,3
1,7,2
3,692,8
2,52,3
3,569,8
1,543,10
1,245,5
4,613,2
5,318,1
2,498,1
1,450,1
2,438,8
1,62,4
1,150,6
2,109,3
2,963,1
3,468,9
4,537,4
4,994,7
5,723,3
1,291,3
4,983,4
3,871,1
4,152,4
1,870,9
1,526,5
5,80,9
5,904,5
3,724,7
2,565,7
2,165,1
2,789,2
3,859,7
2,479,8
2,544,1
2,38,8
4,534,8
1,426,8
2,481,9
2,873,1
5,626,3
5,57,6
3,675,5
1,331,2
1,336,4
3,402,8
2,231,6
3,858,6
2,754,10
5,829,6
1,623,6
5,795,6
1,699,4
3,7,1
2,79,8
1,625,9
5,130,8
2,871,5
4,779,6
3,59,1
5,66,5
4,45,6
2,831,10
1,688,2
2,483,10
3,490,9
1,581,10
4,520,7
1,346,7
4,44,3
2,758,8
4,127,5
1,827,1
1,819,9
2,902,3
2,271,4
1,369,3
5,313,3
5,706,4
2,90,8
5,892,6
5,153,9
2,890,10
1,701,5
1,773,9
5,114,8
4,969,5
1,958,5
4,617,9
4,969,10
3,546,1
2,59,2
1,869,5
1,363,4
1,718,7
1,444,2
4,956,9
3,119,5
4,523,8
4,145,9
2,566,7
3,580,3
1,192,9
5,978,5
2,773,2
3,534,3
4,549,9
2,823,9
1,156,1
5,891,1
4,371,7
4,899,2
1,504,10
1,773,6
1,122,8
2,588,6
3,73,10
5,580,3
1,940,8
4,799,6
5,579,10
3,994,5
3,95,7
2,811,4
4,796,7
2,409,2
4,441,9
2,297,4
4,34,7
2,123,10
3,9,6
4,14,9
1,410,6
5,292,2
1,884,7
5,311,2
5,977,8
4,454,9
3,425,9
5,874,9
2,820,7
2,554,4
5,556,7
3,845,1
5,650,10
4,162,5
1,332,4
2,912,7
4,732,3
4,736,6
3,244,10
5,503,9
1,200,1
5,772,6
4,921,10
1,442,4
1,460,8
2,341,4
3,379,9
1,70,9
1,173,9
5,379,7
5,80,8
2,502,10
5,977,1
3,195,2
5,466,9
1,215,2
2,147,4
1,37,2
5,291,10
3,391,5
2,510,3
4,646,6
1,733,2
1,109,7
1,572,5
4,258,5
4,387,9
3,377,6
3,723,9
2,630,10
2,778,7
2,615,6
5,674,3
1,831,2
1,49,6
1,87,4
2,490,7
1,706,5
3,419,9
5,72,9
1,11,7
3,510,10
3,866,9
3,864,10
3,726,3
5,464,7
5,755,4
4,122,7
1,279,3
2,22,3
4,347,3
4,369,7
2,527,7
3,894,3
3,334,8
5,583,5
3,561,7
3,777,8
1,183,2
1,340,7
4,150,8
5,810,6
3,989,9
5,295,7
3,184,6
1,390,5
3,300,3
4,173,8
4,694,9
2,802,3
4,920,10
1,579,1
3,49,6
3,359,1
1,877,7
1,425,2
1,463,4
4,867,3
3,6,4
5,731,5
3,918,7
5,144,5
3,235,9
5,86,5
1,424,1
1,370,3
4,68,4
5,332,4
1,337,8
4,209,2
2,141,4
5,883,9
1,104,3
5,161,7
2,361,1
1,702,5
1,965,9
5,54,2
4,752,4
5,819,2
1,227,6
5,563,1
5,979,7
3,482,2
4,127,8
5,44,5
3,182,5
2,617,5
4,813,5
2,455,3
4,239,10
2,71,6
4,407,10
4,800,6
2,247,3
2,673,7
3,217,4
4,774,7
5,35,5
2,316,3
4,249,2
3,152,3
1,793,4
2,221,2
4,700,1
5,259,8
1,799,5
2,847,4
4,24,9
1,60,3
1,536,10
2,886,8
4,240,1
2,891,8
2,90,5
1,484,6
5,523,3
4,754,9
3,945,10
3,863,10
5,414,4
2,463,5
1,370,6
4,222,10
1,63,9
1,299,9
4,389,9
2,239,6
3,20,6
4,19,6
5,819,8
5,952,9
4,223,9
4,249,8
4,278,4
2,115,8
3,233,1
4,18,1
3,170,1
3,694,4
2,237,7
2,93,2
2,657,9
5,844,8
4,431,4
3,708,1
1,698,9
2,460,7
5,307,6
4,763,8
3,617,1
1,427,10
2,159,4
5,964,10
2,573,10
1,11,8
1,758,9
5,650,10
3,475,6
4,82,9
4,432,10
2,266,8
2,425,1
1,921,10
4,390,8
2,827,6
3,959,4
4,17,8
4,960,4
5,973,6
2,139,5
5,836,5
5,394,1
3,536,8
5,342,2
2,82,6
3,911,1
3,204,7
3,25,9
5,844,5
1,603,7
4,143,9
4,441,2
4,780,7
2,931,8
3,967,5
3,842,7
2,92,6
1,457,3
4,152,8
2,241,7
2,34,10
3,152,4
5,485,7
2,459,8
5,820,1
1,474,7
2,504,3
2,772,5
2,861,2
4,848,2
4,623,5
4,403,6
5,314,10
2,733,7
3,732,6
1,10,7
1,48,1
2,637,10
5,938,8
3,638,5
4,543,5
4,808,7
2,981,2
2,479,5
5,39,7
4,560,5
5,887,4
1,143,9
4,839,1
3,577,9
4,484,8
2,134,6
4,283,8
2,182,6
3,915,3
3,225,6
2,245,5
5,855,7
5,793,5
4,125,9
3,243,10
5,210,7
1,284,2
3,152,10
2,257,3
1,152,10
2,434,9
1,774,2
5,625,8
4,450,5
3,650,2
2,604,1
2,788,10
4,727,8
5,474,7
4,894,3
1,486,3
3,296,1
3,790,10
4,819,5
1,188,2
4,543,10
1,141,2
5,919,5
5,703,6
4,299,4
2,511,2
2,482,6
5,11,2
3,470,8
4,802,8
5,383,1
3,48,8
1,762,1
5,572,1
1,807,8
2,286,2
4,167,9
1,354,9
5,97,10
1,706,4
3,155,1
3,506,3
4,397,7
4,883,4
5,558,10
2,73,1
1,296,2
2,221,2
4,874,6
1,625,9
4,492,10
3,461,10
3,695,5
1,55,8
5,699,9
2,767,8
5,782,8
5,400,8
2,386,4
4,521,6
5,621,1
3,698,1
4,798,4
2,490,9
3,330,10
3,875,4
5,164,2
3,858,2
1,414,6
4,897,2
1,939,1
3,485,5
4,533,5
2,792,1
2,372,6
3,917,5
2,617,1
3,62,3
2,268,5
5,721,8
4,858,8
2,242,3
1,736,10
1,230,3
5,112,1
5,669,2
3,315,10
5,225,2
4,667,4
4,715,10
5,89,4
1,859,4
4,908,5
4,422,5
5,96,6
2,571,2
5,676,3
4,275,7
3,596,8
1,827,10
3,366,6
2,619,6
1,720,8
1,333,8
1,132,10
2,579,10
5,200,4
2,626,8
3,413,4
1,220,10
4,465,5
1,573,1
2,283,8
2,44,8
1,522,6
4,915,5
5,916,4
5,42,10
1,973,9
2,500,10
5,302,1
2,271,3
4,912,7
1,534,3
3,316,10
5,732,8
4,968,1
4,419,9
5,176,2
1,121,5
1,772,3
2,337,5
4,218,10
3,505,1
3,474,2
3,658,10
4,9,3
3,751,10
1,199,6
3,368,7
2,576,7
2,697,2
5,296,6
5,895,5
1,992,1
3,475,5
4,345,9
3,900,8
1,601,7
5,642,6
1,685,6
4,124,3
2,70,7
4,59,6
2,695,2
5,725,10
5,327,9
3,258,3
5,142,4
3,702,9
4,341,2
4,717,2
3,975,4
1,656,4
2,895,2
4,621,3
3,922,4
2,44,3
2,106,9
2,990,3
3,776,9
2,508,6
3,646,3
3,63,2
1,338,2
4,825,2
4,96,9
4,83,6
1,956,8
2,197,3
2,113,5
2,437,1
2,456,8
1,288,6
4,863,1
4,327,6
2,976,2
4,514,2
5,120,8
3,417,6
3,668,7
3,503,4
4,369,5
2,48,2
2,817,1
3,904,4
4,490,7
2,412,8
3,884,3
3,36,8
4,500,6
3,748,10
4,424,2
3,269,1
3,147,5
2,213,4
3,34,1
2,639,3
2,462,10
5,841,8
5,576,7
4,484,10
2,566,1
3,872,5
5,875,8
5,91,9
4,740,7
1,76,9
4,366,3
1,386,2
1,614,3
2,724,2
4,497,7
3,164,9
2,798,10
5,857,3
5,290,8
1,653,4
4,326,8
2,231,9
3,200,5
4,88,3
2,745,1
2,922,8
5,889,4
4,472,9
4,990,1
3,549,5
1,911,10
5,766,3
4,827,10
4,230,5
2,773,2
5,870,6
2,640,5
1,421,5
2,521,6
2,245,7
5,343,6
2,697,5
5,984,9
2,878,7
4,116,2
2,734,10
5,417,8
3,491,9
2,956,9
2,311,3
1,483,10
2,715,2
3,233,9
3,231,9
5,765,5
1,440,10
5,88,2
2,403,6
3,870,3
5,919,4
3,845,6
2,772,4
1,203,7
2,815,5
5,314,7
2,690,4
1,101,3
1,210,8
3,275,5
3,591,4
2,218,10
3,50,3
2,317,4
4,107,6
4,468,6
1,701,7
1,154,5
4,525,8
1,963,4
4,646,4
4,525,2
2,453,8
3,96,2
4,438,6
4,310,9
1,121,8
2,192,9
1,49,7
1,272,8
1,573,1
2,561,7
2,737,4
5,653,7
5,602,8
3,19,2
4,448,4
3,334,6
1,777,1
4,975,10
3,547,3
3,408,2
1,775,7
4,286,1
5,576,9
4,64,7
1,508,4
3,121,8
1,385,7
1,422,6
4,852,8
3,870,5
2,237,10
2,920,5
4,406,6
2,748,8
4,278,5
1,156,6
1,214,4
3,589,4
4,50,2
5,818,4
5,26,2
3,854,6
5,311,7
1,953,5
4,529,1
4,563,4
4,224,1
1,753,2
5,682,10
5,783,6
4,729,2
5,643,9
4,974,1
1,681,8
5,995,2
4,221,3
2,294,4
5,62,1
2,502,10
2,595,4
4,381,8
3,378,10
5,321,3
5,853,7
5,769,8
4,218,10
1,117,5
2,192,4
5,701,4
5,849,8
3,230,8
1,636,10
3,850,1
3,443,4
3,296,2
4,482,9
3,139,2
3,825,1
5,796,8
2,30,10
2,564,7
1,93,3
4,897,3
5,695,4
4,748,2
3,788,5
4,307,1
2,108,4
5,167,8
3,77,9
2,696,2
1,400,2
4,4,1
5,448,8
4,422,4
1,384,5
2,509,5
2,364,1
5,108,5
1,710,10
2,209,6
1,625,3
3,850,2
2,896,7
2,424,1
2,438,5
2,554,6
4,561,3
3,754,3
5,838,1
1,467,7
4,427,10
2,721,9
3,868,10
4,124,7
5,880,3
4,798,8
5,544,7
4,609,7
4,698,6
2,477,4
3,460,3
5,837,10
1,382,2
2,198,4
1,207,4
5,803,3
1,284,3
1,212,3
2,230,7
4,419,10
5,831,8
2,394,6
4,990,5
4,173,10
4,731,1
1,692,10
4,892,7
1,403,7
1,519,10
2,888,10
4,181,2
5,522,2
5,354,3
2,604,4
2,180,7
2,736,8
2,433,1
2,861,4
1,898,7
3,841,5
3,799,1
1,304,9
5,70,8
1,561,9
3,915,3
3,361,1
3,860,10
1,412,3
1,558,4
3,540,7
3,68,9
1,604,4
4,599,9
